NOT RELIGIOUS HATE	[USER] [USER] [USER] [USER] what the hell do u think dylan roof was? the dude who killed a african american bible study group &amp; the police took him to burger king b4 taking him to jail.
NOT RELIGIOUS HATE	[USER] [USER] it doesn’t actually say that anyone complained. isn’t it a bit like when they said that muslims were offended by nativity scenes in shop windows so they had to be removed but nobody could actually find a complaining muslim.
NOT RELIGIOUS HATE	[USER] [USER] [USER] what cuckoo land are you nationalists living in. there is no plan for a united ireland vote and you assume all catholics will vote for it should it ever cometi pass.some have the wit to know what side their bread is buttered on and an all ireland is not it.
NOT RELIGIOUS HATE	[USER] [USER] [USER] that wasn’t entirely sarcastic, your replies tended to push through a preconceived bad perception of islamic practices, and by extension, islamic people. whether it’s a conscious effort or not it’s still something that shows through.
NOT RELIGIOUS HATE	german officials, jewish groups warn far-right extremism on the rise | the times of israel [URL]
NOT RELIGIOUS HATE	[USER] dear mr vance. i think you should study some doctrine history here and learn about different muslim fundamentalism ones.  had it not been for the us doing a poor job in afghanistan and made poor decions for 40 years we wouldnt be in the current situation. its on the us, no one ls
NOT RELIGIOUS HATE	i'm reading the [USER] plan 'teachings and principles from jeremiah 29:11'. check it out here: [URL] [URL]
NOT RELIGIOUS HATE	[USER] [USER] how lovely that’s the bible has ended up with you. when my gran died in 2009 her bible went to my cousin, and i thought i’d never see it again. it turned out he didn’t want it and it came to me. 😊
NOT RELIGIOUS HATE	oh my.  it’s one thing to know that this existed.  it’s another to read actual stories.  pray.   [URL]
NOT RELIGIOUS HATE	"poland's president andrzej duda has approved a law that will make it harder for jewish people to recover property lost during and after world war two israel has recalled its diplomatic envoy to warsaw over the changes, branding the law ""anti-semitic""  [URL]"
NOT RELIGIOUS HATE	did i have to make piccolo such a flashy muslim man? yes.
NOT RELIGIOUS HATE	to all my muslim moots, i'm sending y'all all my prayers, support and love. you don't deserve to be going through this during this time. i'm here for you. pls take care and stay safe &lt;3
NOT RELIGIOUS HATE	"reports the chinese telecoms giant was involved in the surveillance of #uighur muslims. "" [URL] ."
NOT RELIGIOUS HATE	[USER] [USER] he only represents israeli apartheid state and his own ambition. he doesn’t care about racism, black people, muslims, workers rights, unemployed....
NOT RELIGIOUS HATE	[USER] [USER] well ... well !!! thanks for your contact. i've no problems with colors !!!  only with marxists ideologies, #blm b*llsh*t, #antifa lunatics and muslim extremists ...   if you are blue, green, orange or black, but obey the laws &amp;d constitution. we're political rivals 🍻 ... [URL]
NOT RELIGIOUS HATE	"the word ""shunned"" is a euphemism in this case, as many returning jews were murdered. [URL]"
NOT RELIGIOUS HATE	[USER] [USER] much of the social justice movement came out of protestantism though
NOT RELIGIOUS HATE	a quick word about [USER]. met her in college when she was in the thick of being religious. honors college kids (which gave me trauma for another story). i’m jewish and i grew up in a catholic town so i had never met somebody who only wore denim skirts 😂i had to google it!
NOT RELIGIOUS HATE	"watch this and will not regret ""stunning a christian attacks   how dare you leave christianity?  [URL]   #ffc #lfc #ff #mufc #afc #whufc  #mufc #thfc   #nyc #bb14 #cariocasfc #flumiense #futebol #diadeflu #flu #bethefight #tricolor #fluminensefc #brasileirão"
NOT RELIGIOUS HATE	breathe deep bible man
NOT RELIGIOUS HATE	what if i once made a decision, but gradually drifted? what if i’m now full of doubts? what if i want nothing to do with christians any more? send in your questions as cath and donald discuss this question tonight - on our youtube channel starting at 7pm. [URL]
NOT RELIGIOUS HATE	[USER] [USER] [USER] [USER] watermelon price might increase due to the on going muslim fasting now or what was the selling price  of watermelon before the fasting. prices of 50cl coke in iyana-ipaja overy btw n100 - n120 &amp; 35cl is n60 same location.
NOT RELIGIOUS HATE	[USER] [USER] we don't have open borders, and your snipes about black people, muslims, and the immigrants at the border have made it very clear where you stand.
NOT RELIGIOUS HATE	nothing in the catholic church is greater than god, himself, as evidenced by the rapture of the catholic church.
NOT RELIGIOUS HATE	[USER] [USER] [USER] [USER] lol educate yourself, homegirl. yes you absolutely can compare judaism and christianity.
NOT RELIGIOUS HATE	[USER] my face is already on it...
NOT RELIGIOUS HATE	they also tend to forget jesus was jewish. not the white jesus in the pictures at most all christian churches around the world. [URL]
NOT RELIGIOUS HATE	you think it’s funny that new orleans and louisiana are about to get slammed by 140 mph winds but you have the bible quote in your bio like a true scumbag. you are the biggest hypocrite dumpster trashbag evil monster ever. you’re never going to heaven. dramatic enough? 🖕🏻 [URL]
NOT RELIGIOUS HATE	nigeria: armed bandits have razed the building of the holy family catholic church &amp; two homes in kikwari village. a kaduna state official said on sunday that locals fled the area on receiving information that some bandits were sighted outside the village. [URL] [URL]
NOT RELIGIOUS HATE	4 humility is the fear of the lord; its wages are riches and honor and life. proverbs 22:4 niv  [URL]
NOT RELIGIOUS HATE	lancaster regional semifinal baseball game against new albany today has been postponed until tomorrow at 2 p.m., as well as fisher catholic's game against russia. still waiting word on bloom-carroll and liberty union games.
NOT RELIGIOUS HATE	[USER] but how come afghani muslims also welcomed in india !?? this you won’t publish right ??? #sillysaba #crooked intentions
NOT RELIGIOUS HATE	[USER] [USER] [USER] book of acts. take a crack at what the bible actual said's then even gospel of john and you will read that christ spoke against religion and the priest of israel.
NOT RELIGIOUS HATE	[USER] the actual roman authors of the new testament. discovered by abelard reuchlin. [URL]
NOT RELIGIOUS HATE	[USER] isis &amp; a.l.k.i.d.a were both designed inside usa borders; controlled from inside usa borders.  - sorry to break to you careful of the popular opinions deciding facts of todays islam.  disinformation is the primary tact of islam.
NOT RELIGIOUS HATE	interesting how the need for halal meat went on to create a muslim culture around food that’s contrary to wht islam would want - excess meat, excess portions, excess passion
NOT RELIGIOUS HATE	"rt daily_bible ""and now these three remain: faith, hope and love. but the greatest of these is love. [URL] [URL]"
NOT RELIGIOUS HATE	[USER] the only good thing trump has done with israel is move the embassy as per congress since 1998, not his idea.  i stand by disaster, jews killed, neonazis white supremacists emboldened.  biden associated with antisemite kerry who was kicked out of israel.  1/2
NOT RELIGIOUS HATE	[USER] [USER] the bible belt hordes, sent by god to purge the american empire
NOT RELIGIOUS HATE	[USER] [USER] [USER] [USER] [USER] i had no idea he thought hell might be empty or a metaphor. my understanding is that is hell is a place without god.  also that souls can still find heaven who have never heard of christ. like the native americans who never had contact with christianity.
NOT RELIGIOUS HATE	the shiite muslims commemorate the battle of karbala and consider this a month of sadness and mourning  #yahossien #muharram #ashura
NOT RELIGIOUS HATE	[USER] [USER] and yet christians and other church goers voted overwhelmingly for him. hm.
NOT RELIGIOUS HATE	[USER] [USER] 1960. 7 years old. marin county, ca, fundraiser for jfk. came home proudly with a kennedy hat. neighbor girl told me her parents would never vote for him because he was catholic. asked my mother to explain, she said some think the pope will run the country. my intro to politics.
